id,common_name,category,symptom_description,likely_cause,trigger_conditions,disambiguation_notes,soil_related,recommended_action,confidence_source,region_notes,notes_conflicts
PR,Polysora Rust / Southern Rust,fungal_disease,"Pustules are small, round, light orange; later turning black. The epidermis is ruptured as the plant matures.",Puccinia polysora,Favored by humid warm conditions.,"Differs from common rust in that southern rust pustules are lighter orange, smaller, and rounder.",FALSE,Foliar application of fungicides.,"CIMMYT Maize Diseases Guide p. 13, 16",,
TR,Tropical Rust,fungal_disease,"Pustules are small, round-to-oval, surrounded by black epidermis.",Physopella zeae,Prevalent in warm and humid tropical regions.,Differs from common and southern rust in that the pustules are surrounded by a distinct black epidermis.,FALSE,,"CIMMYT Maize Diseases Guide p. 13, 17",,
ZLS,Zonate Leaf Spot,fungal_disease,"Large, concentric, necrotic rings on the leaves.",Gloeocercospora sorghi,"Favored by cool, humid conditions.",,FALSE,,CIMMYT Maize Diseases Guide p. 17,,
LLS,Leptosphaeria Leaf Spot,fungal_disease,"Small, necrotic lesions coalescing into concentric necrotic spots.",Leptosphaeria maydis,"Prevalent in humid, warm tropical environments.",,FALSE,,CIMMYT Maize Diseases Guide p. 18,,
PLS,Phaeosphaeria Leaf Spot,fungal_disease,"Small, round-to-oval spots, pale green, later becoming bleached, then necrotic with a dark brown margin.",Phaeosphaeria maydis,"Prevalent in humid, cool regions.",Other species of Leptosphaerta which produce different symptoms on maize leaves are also known in other regions of the world.,FALSE,,CIMMYT Maize Diseases Guide p. 21,,
GLS,Gray Leaf Spot (GLS),fungal_disease,"Lesions begin as small, regular, elongated brown-gray necrotic spots growing parallel to the veins. Mature lesions are oval in shape and occasionally, lesions may reach 5cm long and 0.3 cm wide. The lesions start from the lower leaves and increase in number usually after 'silking' in stage III of plant development. They are always light and develop into gray lesions which may grow together and kill entire leaves.",Cercospora zeae-maydis / Cercospora sorghi var. maydis,"Develops in highly humid warm, overcast days. Minimum tillage practices have been associated with an increased incidence of GLS.","Cigar-shaped lesions are characteristic of Northern Corn Leaf Blight, whereas Gray Leaf Spot lesions are strictly restricted parallel to the leaf veins.",FALSE,"Plough under diseased debris to reduce amount of inoculum, plant resistant/tolerant varieties, practice crop rotation for at least 2 years with non-host crops like potato, beans or pea, use recommended rates of fertilizers and spray with fungicides.",CIMMYT Maize Diseases Guide p. 22; KALRO Disease Guide p. 21; KCEP-CRAL Maize Extension Manual p. 11,,
CLS,Curvularia Leaf Spot,fungal_disease,"Lesions, with brown centers, about 2 mm in diameter. Spots are small and necrotic, with light colored haloes.",Curvularia clavata / Curvularia maculans / Curvularia pallescens / Curvularia senegalensis / Curvularia tuberculata / Curvularia lunata,"Prevalent in warm, humid tropical environments.",Easily confused with eyespot of maize or physiological/genetical spots.,FALSE,,CIMMYT Maize Diseases Guide p. 25,,
CarbLS,Carbonum Leaf Spot,fungal_disease,"Lesions are oval, zonate, and brownish, or brown slender and elongated. Can cause rotten and blackened ears.",Helminthosporium carbonum,"Prevalent in humid, warm conditions.",,FALSE,,CIMMYT Maize Diseases Guide p. 26,,
MLB,Maydis Leaf Blight / Southern Corn Leaf Blight,fungal_disease,"Lesions are small, elongating along secondary veins, and often coalescing. Lesions are oval and larger than 2.3 cm on husks and leaf sheaths in specific strains.",Helminthosporium maydis,"Humid, warm weather favors disease development.","Southern leaf blight spots are restricted by leaf veins at first, up to 25 mm long, whereas Northern leaf blight spots are cigar-shaped and larger.",FALSE,"Use disease-free seed or treated seed, destroy crop residues and volunteer plants, practice crop rotation, and use tolerant/resistant varieties.",CIMMYT Maize Diseases Guide p. 29; KCEP-CRAL Maize Extension Manual p. 11,,
NLB,Turcicum Leaf Blight / Northern Corn Leaf Blight (NLB),fungal_disease,"Early symptoms include chlorotic 'halo' that develop into necrotic lesions. These grow into mature cigar-shaped lesions that are 2 cm wide and about 15 cm long. Immature lesions have gray green margins and as they mature turn brown with dark parts of fungal sporulation. The symptoms appear first on lower leaves and increase in size and number as the plant develops, until foliage is completely 'burned'.",Helminthosporium turcicum / Exserohilum turcicum / Exhelosporium turcicum,"Favored by cool, wet weather and is aggravated by previous diseased leaf tissue left on the soil surface.","Turcicum leaf blight lesions are large and cigar-shaped, distinguishing them from the rectangular lesions of Gray Leaf Spot and the smaller spots of Southern Leaf Blight.",FALSE,"Ploughing in or removal of the diseased leaf materials from the soil surface, planting resistant/tolerant varieties, crop rotation, and spraying with fungicides before the disease becomes severe.",CIMMYT Maize Diseases Guide p. 30; KALRO Disease Guide p. 20; KCEP-CRAL Maize Extension Manual p. 11,"The purpose of this section is to help with recognition of the common diseases of maize in Kenya caused by infectious pathogens such as fungi, bacteria, viruses and nematodes.",
DMLS,Diplodia macrospora Leaf Stripe,fungal_disease,"Lesions are necrotic, elongated, with narrow yellow margins, along the leaf veins.",Diplodia macrospora,"Prevalent in warm, humid conditions.",,FALSE,,CIMMYT Maize Diseases Guide p. 33,,
LA,Leaf Anthracnose,fungal_disease,Lesions coalesce and produce severe blotching and necrosis of leaf tissue. Stalks of young plants may also be infected.,Colletotrichum graminicola,"Favored by warm, wet environments.",,FALSE,,CIMMYT Maize Diseases Guide p. 34,,
SLB,Septoria Leaf Blotch,fungal_disease,"Symptoms first appear as small, light green to yellow spots on the leaves. Lesions coalesce and produce severe blotching and necrosis of affected areas where many black pycnidia grow.",Septoria maydis,"The spotting mainly affects maize grown in rather cool, humid environments.",,FALSE,,CIMMYT Maize Diseases Guide p. 37,,
EM,Eyespot of Maize,fungal_disease,"Recognized by small (1 to 4 mm), round, translucent lesions. Tan colored centers develop, surrounded by black-to-purple rings, with a yellow halo around them, thus producing the characteristic 'eyespot'.",Kabatiella zeae,"Favored by cool, moist environments.","These symptoms are easily confused with physiological or genetical spots, which are non-infectious but widely observed in maize leaves.",FALSE,,CIMMYT Maize Diseases Guide p. 38,,
PhylLS,Phyllosticta Leaf Spot / Yellow Leaf Blight,fungal_disease,"Young diseased plants show symptoms similar to those observed in nitrogen deficient plants. In mature plants, lesions are narrow, necrotic, and parallel to the veins (although not limited by them). In older leaves, lesions develop further and produce a characteristic blighting near the tip.",Phyllosticta maydis,"Humid, warm weather favors disease development.",Young plant symptoms look similar to nitrogen deficiency.,FALSE,,CIMMYT Maize Diseases Guide p. 41,,
BLSS,Banded Leaf and Sheath Spot,fungal_disease,Concentric spots on leaves and sheaths; filamentous masses develop on lesions. Rotten ears; light brown cottony mold: filamentous masses on kernels and cob.,Rhizoctonia solani,"Prevalent in warm, humid conditions.",,FALSE,,CIMMYT Maize Diseases Guide p. 42,,
PSR,Pythium Stalk Rot,fungal_disease,"Twisting and collapsing of the stalk. Affected internodes show a dark, water-soaked, soft rot. Stalks of young plants collapse.",Pythium aphanidermatum,"Favored by hot, wet weather.",,FALSE,,CIMMYT Maize Diseases Guide p. 45; KALRO Disease Guide p. 26,Pl ease note that this disease has not yet been reported in Kenya and is therefore of quarantine importance.,
HS,Head Smut,fungal_disease,"The infection is systemic: the fungus penetrates the seedlings and grows inside the plant without showing symptoms, until the tasseling and silking in stage II and III of crop development. The most conspicuous symptoms are: abnormal development of the tassels, which become malformed and overgrown; black masses of spores that develop inside individual male florets; and masses of black spores replacing the normal ear, leaving the vascular bundles exposed and shredded looking like fibers. Plants may be severely stunted.",Sphacelotheca reiliana,"Can cause significant economic damage in dry, hot maize growing areas, and in mid hill zones and under warm temperate conditions.",It is different from common smut for lack of the vascular bundles that appear as fiber in smut-infected ears.,FALSE,"Plant resistant varieties, plant early when temperatures are unfavorable for spore germination, treat seeds with systemic fungicides, maintain balanced soil fertility, remove and burn smutted tassels and ears as they emerge, and practice crop rotation.",CIMMYT Maize Diseases Guide p. 46; KALRO Disease Guide p. 23; KCEP-CRAL Maize Extension Manual p. 12,,
BBD,Black Bundle Disease,fungal_disease,"Brown interior of the stem, starting in the roots; wilting of the plant at flowering. Stunting; chlorosis; death around flowering time. Nubbins, or ears with underdeveloped, shrunken kernels.",Cephalosporium acremonium,Systemic infection starting early and showing symptoms at flowering.,,FALSE,Practice crop rotation and use healthy seeds.,CIMMYT Maize Diseases Guide p. 49; KALRO Disease Guide p. 8,f) Resource mobilization The technical team held several consultative forums to share information and develop a research proposal for sustainab le management of MLND in Kenya.,
LW,Late Wilt,fungal_disease,Rapid wilting of leaves and stalks at or near flowering. Stem interior shows a brown discoloration.,Cephalosporium maydis,Favored by warm temperatures.,,FALSE,,CIMMYT Maize Diseases Guide p. 49,,
CSR,Charcoal Stalk Rot,fungal_disease,"Black discoloration of stem; shredding of interior; bundles of black material. Split stalks show vascular bundles covered with black, pin-head-like sclerotia.",Macrophomina phaseolina,Favored by dry weather and high temperatures.,"Unlike charcoal rot, Botryodiplodia stalk rot does not produce black pin-head-like sclerotia in the rotten areas, but it does produce abundant gray-blackish cottony mycelium.",FALSE,,CIMMYT Maize Diseases Guide p. 50,,
FHS,False Head Smut,fungal_disease,Only a few isolated male florets in the tassel show dark-green masses of spores (sori). Does not produce tassel malformation or ear infection.,Ustilaginoidea virens,"Occurs very rarely in hot, dry or humid areas.",Differs from True Head Smut in that it does not cause tassel malformation or ear infection. Differs from Common Smut in that no galls are produced.,FALSE,,"CIMMYT Maize Diseases Guide p. 53, 56",,
BSR,Botryodiplodia Stalk Rot / Black Kernel Rot,fungal_disease,"Diseased plants dry prematurely. Split-open stalks show some shredding of the pith and a dark gray to black discoloration of the vascular bundles. Abundant grayish mycelia are conspicuous in the rotten areas, confined mostly to the lower internodes above ground. Produces abundant gray-blackish cottony mycelium in cavities formed in the pith of affected internodes.",Botryodiplodia theobromae,"Develops in hot, humid environments.","Unlike charcoal rot, Botryodiplodia stalk rot does not produce black pin-head-like sclerotia in the rotten areas.",FALSE,,"CIMMYT Maize Diseases Guide p. 54, 57",,
DSR,Diplodia Stalk Rot,fungal_disease,"Broken stalks; brownish pith; later, abundant-fruiting bodies. Rotting starts at the base.",Diplodia maydis / Stenocarpella maydis,Favored by wet weather after flowering.,,FALSE,,CIMMYT Maize Diseases Guide p. 63,,
FSR,Fusarium Stalk Rot / Kernel Rot,fungal_disease,Damage occurs mainly on individual kernels or on limited areas of the ear. Infected kernels develop a cottony growth or may develop white streaks on the pericarp and germinate on the cob. Scattered individual or groups of kernels show whitish-pink to lavender fungal growth. Infected kernels may also have a 'starburst' pattern of white streaks on the cap of the kernel or along the base.,Fusarium moniliforme,"Infections are more frequent on damaged ear tips, and are favored by dry weather. Mechanical damage by thrips to developing kernels provides entry.","In contrast to Gibberella zeae which covers the ear starting from the tip with reddish mycelium, Fusarium moniliforme damage occurs mainly on individual kernels.",FALSE,Avoid injuring the plants. Spray with fungicides.,CIMMYT Maize Diseases Guide p. 64; KALRO Disease Guide p. 25,,
GSR,Gibberella Stalk Rot / Ear Rot,fungal_disease,"Gibberella zeae produces reddish kernel discoloration, usually beginning at the ear tip. Ear infection begins as white mycelium moving down from the tip, which later turns reddish-pink, in infected kernels. Husks may rot and be cemented to the ear.",Gibberella zeae,"Most common in cool and humid weather, particularly 2 to 3 weeks after silking.","Gibberella ear rot causes a distinct reddish-pink discoloration moving down from the tip, whereas Aspergillus causes black or green-yellow powdery masses.",FALSE,,"CIMMYT Maize Diseases Guide p. 64, 68; KALRO Disease Guide p. 25",,
CER,Charcoal Ear Rot,fungal_disease,Inner parts of the ear show black discoloration. Pith is shredded and black.,Macrophomina phaseolina,"Favored by hot, dry conditions.",,FALSE,,CIMMYT Maize Diseases Guide p. 71,,
HT,Horse's Tooth / Ergot of Maize,fungal_disease,"Slimy, soft, pale, masses develop on kernels; these harden toward harvest and turn dark.",Claviceps gigantea,"Favored by cool, humid climates.",,FALSE,,CIMMYT Maize Diseases Guide p. 72,,
PER,Penicillium Ear Rot,fungal_disease,Blue-green powdery mold on the cob and kernels; kernels appear streaked and bleached.,Penicillium oxalicum,Favored by ear injury.,,FALSE,,CIMMYT Maize Diseases Guide p. 75,,
AER,Aspergillus Ear and Kernel Rot,fungal_disease,"Produces black, powdery masses of spores that cover both kernels and cob (for Aspergillus niger). Greenish or yellowish-tan discoloration occurs on and between kernels, especially near the ear tip. Symptoms are more prevalent if the husk does not cover the ear tip in stage II of crop development.",Aspergillus flavus / Aspergillus niger,"The rot is favored by hot, dry weather. May be a serious problem when infected ears are stored at high moisture content.","Aspergillus produces green, yellow, or black powdery spores, unlike the white mold of Diplodia or the reddish-pink growth of Gibberella.",FALSE,Dry maize grain quickly after harvest to moisture levels of between 12 and 15% and ensure good ventilation. Avoid ear damage by birds or insects.,CIMMYT Maize Diseases Guide p. 76; KALRO Disease Guide p. 24,,
GER,Gray Ear Rot,fungal_disease,"Lightweight, chaffy ears; loose, discolored kernels; black specks on kernels and cob. Germination of seed on cob can occur.",Physalospora zeae,"Favored by warm, wet weather.",,FALSE,,CIMMYT Maize Diseases Guide p. 79,,
CS,Common Smut,fungal_disease,"Characterized by galls that replace individual kernels and are covered with white membranes. In time the galls break open releasing black masses of spores that will infect maize in the following season. On the leaves the disease appears as white blisters that turn dark with age. The blisters tend to harden and dry without rupturing. The disease is most severe in young plants and can stunt or kill them. Attacks all parts of the plant: leaves, stalks, tassels and ears.",Ustilago maydis,Occurs mainly in the humid and temperate areas as opposed to hot humid tropical areas. The pathogen survives in soils as teliospores in a wide range of temperatures (16-35oC). Entry is gained through wounds or thin walled cells of actively growing maize.,It is different from head smut for lack of the vascular bundles that appear as fiber in smut-infected ears.,FALSE,"Burn affected plants completely, plant resistant varieties, spray with fungicides, and avoid injuring the plants.",CIMMYT Maize Diseases Guide p. 80; KALRO Disease Guide p. 22; KCEP-CRAL Maize Extension Manual p. 12,,
NER,Nigrospora Ear Rot,fungal_disease,"Lightweight, chaffy ears; loose, discolored kernels; black specks on kernels and cob.",Nigrospora oryzae,"Favored by cool, wet conditions.",,FALSE,,CIMMYT Maize Diseases Guide p. 83,,
CladER,Cladosporium Ear Rot,fungal_disease,"Brown-green streaks on kernels, starting at the cob base.",Cladosporium herbarum,Favored by wet weather and crop lodging.,,FALSE,,CIMMYT Maize Diseases Guide p. 84,,
DER,Diplodia Ear Rot,fungal_disease,"Symptoms include bleached husks, white mold over kernels, and rotted ears with tightly adhering husks. Early infection (2 to 4 weeks after silking) is likely to lead to complete ear rotting. Later infections may result in partial rotting, usually beginning at the base.",Diplodia maydis / Stenocarpella maydis,Most severe when maize is planted following corn in reduced tillage situations. Most ear rots are favored by late-season humidity and ear damage.,"Characterized by white mycelial growth that tightly glues husks to the ear, which distinguishes it from the pinkish/reddish Gibberella ear rot.",FALSE,"Crop rotation, deep tillage, and avoid planting maize immediately following maize in fields with a history of the disease.",CIMMYT Maize Diseases Guide p. 87; KALRO Disease Guide p. 24,,
BacSR,Bacterial Stalk Rot,bacterial_disease,"Affected plants show a rapid wilting, followed by collapse and lodging of the stalk. Internodes show a dark, water-soaked, soft, slimy rot that has a foul odor.",Erwinia carotovora / Pseudomonas lapsa,Favored by high temperatures and abundant rainfall or overhead irrigation.,"Bacterial stalk rot is distinguished by its slimy, soft rot with a characteristic foul odor.",FALSE,"Avoid overhead irrigation, improve soil drainage, and spray with recommended bactericides.",CIMMYT Maize Diseases Guide p. 88; KALRO Disease Guide p. 26,Pl ease note that this disease has not yet been reported in Kenya and is therefore of quarantine importance.,
SW,Stewart's Wilt,bacterial_disease,"With early infection, lesions are first water-soaked, turning long and pale yellow with irregular margins running the length of the leaves. Infection may move into the stem, causing a general stunting, wilting, and plant death. Severely infected plants that set seed develop small nubbins with few kernels. Late infection can cause severe leaf necrosis but does not lead to wilting.",Erwinia stewartii,Transmitted by maize flea beetles (Chaetocnema pulicaria) and also at very low frequency through infected seed. Feeding wounds from the insect vector serve as points of entry.,"Stewart's wilt causes long, water-soaked, pale yellow leaf lesions, unlike the rectangular lesions of gray leaf spot.",FALSE,"Quarantine measures (not yet reported in Kenya), control the flea beetle vector, plant resistant varieties.",CIMMYT Maize Diseases Guide p. 91; KALRO Disease Guide p. 26,Not yet reported in Kenya (quarantine importance).,
BLStripe,Bacterial Leaf Stripe,bacterial_disease,"Lesions are pale green along the veins, later becoming bleached and necrotic.",Pseudomonas andropogoni,"Favored by warm, wet conditions.",,FALSE,,CIMMYT Maize Diseases Guide p. 92,,
HSpot,Holcus Spot,bacterial_disease,"Lesions start as water-soaked spots, later turning round, light-colored or white with reddish margins.",Pseudomonas syringae pv. syringae,"Favored by cool, wet weather.",,FALSE,,KALRO Disease Guide p. 26,Pl ease note that this disease has not yet been reported in Kenya and is therefore of quarantine importance.,
MBSD,Maize Bushy Stunt Disease (MBSD),viral_disease,"Bushy plant; many tillers, chlorotic and reddish; severe stunting.",Spiroplasma kunkelii,Transmitted by leafhopper vectors.,"Maize bushy stunt causes excessive tillering and a bushy appearance, which is more pronounced than the symptoms of corn stunt.",FALSE,"Control leafhopper vectors, plant early, and use resistant varieties.",CIMMYT Maize Diseases Guide p. 95,,
MCDV,Maize Chlorotic Dwarf Virus (MCDV),viral_disease,Stunting; chlorosis; shortened internodes; leaves appear crowded.,Maize chlorotic dwarf virus,Transmitted by leafhopper vectors.,,FALSE,Control vectors.,CIMMYT Maize Diseases Guide p. 96,,
MCMV,Maize Chlorotic Mottle Virus (MCMV),viral_disease,Stunting; chlorosis; shortened internodes; green patches. Underdeveloped ears and poor grain filling. Usually associated with mosaic pattern and chlorotic streaks on leaves.,Maize chlorotic mottle virus,"Transmitted by rootworm beetles, thrips, aphids and leafhoppers. Also has low levels of seed transmission. The virus is geographically restricted and is associated with soil.",Co-infection of MCMV with potyviruses (SCMV or MDMV) leads to the devastating Maize Lethal Necrosis Disease (MLND).,FALSE,"Control vectors, plant early, use certified seeds, crop rotation.","CIMMYT Maize Diseases Guide p. 99; KALRO Disease Guide p. 8, 14","Reported in Bomet, Narok, Naivasha, Nakuru counties.",
MDMV,Maize Dwarf Mosaic Virus (MDMV),viral_disease,"Infected plants develop a distinct mosaic — irregularities in the distribution of normal green color —on the youngest leaf bases. Sometimes the mosaic appearance is enhanced by narrow chlorotic streaks extending parallel to the veins. Later on, the youngest leaves show a general chlorosis, and streaks are larger and more abundant. As plants approach maturity, the foliage can turn purple or purple-red. Depending on time of infection, there may be severe stunting of the plant. Plants infected early may produce nubbins or be totally barren.",Maize dwarf mosaic virus,"Transmitted by several genera and species of aphids, including Rhopalosiphum maidis, and also by seed at low rates. Can infect other grass and cereal hosts like sorghum, Johnson grass, and sugarcane.","mosaic patterns and chlorotic streaks distinguish it from Maize Streak Virus, which has sharp, broken yellow lines.",FALSE,"Control aphid vectors, plant early, use resistant varieties, eradicate alternate grass hosts.","CIMMYT Maize Diseases Guide p. 100; KALRO Disease Guide p. 7, 28","b) History of MLND in Kenya In K enya the first occurrence of unfamiliar maize disease was first reported in September 2011 in the low altitude zones of Bomet County (Longisa Division, 1900.",
MLN,Maize Lethal Necrosis Disease (MLND),viral_disease,"Infected plants show a diverse range of symptoms. These include chlorotic mottle on the leaves, usually starting from the base of the young leaves in the whorl and extending upwards toward the leaf tips, mild to severe leaf mottling, dwarfing and premature aging. Necrosis of the young leaves in the whorl before expansion leading to a 'dead heart'. Lesions sometimes associated with unfurled leaves appear on the stem. Tassels with no pollen and finally there is poor grain filing.",Maize chlorotic mottle virus + SCMV/MDMV/WSMV,"Involves synergism between two viruses: MCMV and any of several potyviruses (SCMV, MDMV, WSMV). Transmitted by rootworm beetles, thrips, aphids and leafhoppers. Alternate hosts include a wide range of plants in the grass family (73 species). Low levels of seed transmission.","MLN is characterized by rapid and complete drying of the plant (necrosis), leading to a 'dead heart', which is much more severe than the mosaic symptoms of MDMV or MCMV alone.",FALSE,"Integrated pest and disease management: plant early, use certified treated seeds with insecticide, avoid recycled seeds, crop rotation with non-cereal crops (beans, cowpeas, peas), crop diversification, closed seasons (quarantine on movement of materials), control insect vectors (thrips, aphids) using recommended chemical or biological agents.","CIMMYT Maize Diseases Guide p. 103; KALRO Disease Guide p. 10, 14, 15, 16; KCEP-CRAL Maize Extension Manual p. 12","First reported in September 2011 in low altitude zones of Bomet County (Longisa Division). Spread to Narok South, Narok North, Naivasha, Nakuru, Nandi, Bungoma, Kakamega sub-counties. Present in all maize growing regions except North Eastern.",
MMV,Maize Mosaic Virus I (MMV),viral_disease,"Chlorotic striping; leaves appear crowded and erect; leaves rough, fleshy, dark purple.",Maize mosaic virus,Transmitted by planthopper vectors.,,FALSE,Control vectors.,CIMMYT Maize Diseases Guide p. 104,,
MStpV,Maize Stripe Virus (MStpV),viral_disease,"Yellow and broad striping, turning purple toward leaf tips.",Maize stripe virus,Transmitted by planthopper vectors.,,FALSE,Control vectors.,CIMMYT Maize Diseases Guide p. 107,,
MRFV,Maize Fine Stripe Virus (MRFV),viral_disease,"Spots, small and whitish, coalescing into a line. Fine chlorotic spots parallel to the veins.",Maize rayado fino virus,Transmitted by leafhopper vectors.,,FALSE,Control vectors.,CIMMYT Maize Diseases Guide p. 108,,
CSV,Corn Streak Virus (CSV),viral_disease,"Early disease symptoms begin within a week after infection and consist of very small, round, scattered spots in the youngest leaves. The number of spots increases with plant growth; they enlarge parallel to the leaf veins. Soon spots become more profuse at leaf bases. Fully elongated leaves develop a chlorosis with broken yellow streaks along the veins, contrasting with the dark green color of normal foliage. Severe infection causes stunting, and plants can die prematurely or are barren.",Maize streak virus,Transmitted by Cicadulina spp. leafhoppers (primarily Cicadulina mbila). Alternate hosts include many cereal crops and wild grasses. Early planting reduces risk of virus transmission.,"MSV causes narrow, well-defined, broken yellow streaks parallel to leaf veins, unlike the diffuse mosaic patterns of MDMV.",FALSE,"Plant early in the season, use recommended MSV resistant varieties, eradicate grass weeds, control leafhopper vectors, keep fields free from grass weeds, remove residues of cereal crops, and catch vectors with sticky green traps.",CIMMYT Maize Diseases Guide p. 111; KALRO Disease Guide p. 27; KCEP-CRAL Maize Extension Manual p. 12,Reported first from East Africa.,
CSD,Corn Stunt Disease (CSD),viral_disease,"Stunting, shortened internodes; axillary bud development; excessive root branching; chloritic streaks at bases of leaves. Leaves appear crowded and erect.",Spiroplasma / Phytoplasma,Transmitted by leafhopper vectors.,"CSD causes excessive root branching and axillary bud development, distinguishing it from general virus chlorosis.",FALSE,"Control vectors, plant early, plant resistant varieties.",CIMMYT Maize Diseases Guide p. 112; KALRO Disease Guide p. 26,Pl ease note that this disease has not yet been reported in Kenya and is therefore of quarantine importance.,
BYDV,Barley Yellow Dwarf Virus (BYDV),viral_disease,Yellowing and stunting of the foliage. Can cause leaf mottling.,Barley yellow dwarf virus,Transmitted by the maize aphid (Rhopalosiphum maidis).,,FALSE,Control aphid vectors.,KALRO Disease Guide p. 32,,
WSMV,Wheat Streak Mosaic Virus (WSMV),viral_disease,Chlorotic streaks and mosaic patterns on the leaves.,Wheat streak mosaic virus,Transmitted by mites. Associated as a potyvirus component in the MLN complex.,,FALSE,Control vectors and volunteer wheat crops.,CIMMYT Maize Diseases Guide p. 102; KALRO Disease Guide p. 7,"b) History of MLND in Kenya In K enya the first occurrence of unfamiliar maize disease was first reported in September 2011 in the low altitude zones of Bomet County (Longisa Division, 1900.",
SCMV,Sugarcane Mosaic Virus (SCMV),viral_disease,Infected plants develop a mosaic pattern and chlorotic streaks on leaves.,Sugarcane mosaic virus,Transmitted by aphids. Serves as a major potyvirus partner in the MLND complex in Kenya.,,FALSE,Control aphid vectors.,"KALRO Disease Guide p. 7, 8, 28",Seriously affects maize production in China.,
HPV,High Plains Virus,viral_disease,"Chlorotic spots and mosaic streaks on leaves, followed by necrosis.",High plains virus,Transmitted by wheat curl mites.,,FALSE,,KALRO Disease Guide p. 26,Pl ease note that this disease has not yet been reported in Kenya and is therefore of quarantine importance.,
